Section,Subsection,Species,Variety,Common_name,Form
Lobatae,Agrifoliae,agrifolia,agrifolia,Coast live oak,tree
Lobatae,Agrifoliae,agrifolia,oxyadenia,Coast live oak,tree
Lobatae,Agrifoliae,kelloggii,,California black oak,tree
Lobatae,Agrifoliae,parvula,parvula,Santa Cruz island oak,shrub
Lobatae,Agrifoliae,parvula,shrevei,Shreve oak,tree
Lobatae,Agrifoliae,parvula,tamalpaisensis,Tamalpias oak,shrub
Lobatae,Agrifoliae,wislizeni,wislizeni,Interior live oak,tree
Lobatae,Agrifoliae,wislizeni,frutescens,Interior live oak,shrub
Quercus,Dumosae,berberidifolia,,Inland scrub oak,shrub/tree
Quercus,Dumosae,cornelius-mulleri,,Muller oak,shrub
Quercus,Dumosae,douglasii,,Blue oak,tree
Quercus,Dumosae,dumosa,,Nuttall's scrub oak,shrub
Quercus,Dumosae,durata,durata,Leather oak,shrub
Quercus,Dumosae,durata,gabrielensis,San Gabriel Mtns. leather oak,shrub
Quercus,Dumosae,garryana,garryana,Oregon oak,tree
Quercus,Dumosae,garryana,breweri,Oregon oak,shrub/tree
Quercus,Dumosae,garryana,semota,Oregon oak,shrub/tree
Quercus,Dumosae,john-tuckeri,,Tucker oak,shrub
Quercus,Dumosae,lobata,,Valley oak,tree
Quercus,Dumosae,pacifica,,Channel Island scrub oak,shrub
Quercus,Ponticae,sadleriana,,Deer oak,shrub
Quercus,Protobalanus,cedrosensis,,Cedros Island oak,tree
Quercus,Protobalanus,chrysolepis,,Canyon live oak,tree
Quercus,Protobalanus,palmeri,,Palmer oak,shrub/tree
Quercus,Protobalanus,tomentella,,Island oak,tree
Quercus,Protobalanus,vaccinifolia,,Huckleberry oak,shrub
Quercus,"""Leucomexicana""",engelmannii,,Engelmann oak,tree
Quercus,"""Leucomexicana""",turbinella,,Shrub live oak,shrub/tree
